Zip,Region,City
"98001,",S,Auburn
" 98002,",S,Auburn
" 98003,",S,Federal Way
" 98004,",W,Bellevue
" 98005,",W,Bellevue
" 98006,",W,Bellevue
" 98007,",W,Bellevue
" 98008,",W,Bellevue
" 98010,",S,Black Diamond
" 98011,",N,Bothell
" 98014,",E,Carnation
" 98019,",N,Duvall
" 98022,",S,Enumclaw
" 98023,",S,Federal Way
" 98024,",E,Fall City
" 98027,",E,Issaquah
" 98028,",N,Kenmore
" 98029,",E,Issaquah
" 98030,",S,Kent
" 98031,",S,Kent
" 98032,",S,Kent
" 98033,",N,Kirkland
" 98034,",N,Kirkland
" 98038,",E,Maple Valley
" 98039,",W,Medina
" 98040,",W,Mercer Island
" 98042,",S,Kent
" 98045,",E,North Bend
" 98052,",N,Redmond
" 98053,",N,Redmond
" 98055,",W,Renton
" 98056,",W,Renton
" 98058,",W,Renton
" 98059,",W,Renton
" 98065,",E,Snoqualmie
" 98070,",SeaW,Vashon
" 98072,",N,Woodinville
" 98074,",N,Sammamish
" 98075,",N,Sammamish
" 98077,",N,Woodinville
" 98092,",S,Auburn
" 98102,",SeaE,Seattle
" 98103,",SeaN,Seattle
" 98105,",SeaN,Seattle
" 98106,",SeaS,Seattle
" 98107,",SeaN,Seattle
" 98108,",SeaS,Seattle
" 98109,",SeaW,Seattle
" 98112,",SeaE,Seattle
" 98115,",SeaN,Seattle
" 98116,",SeaW,Seattle
" 98117,",SeaN,Seattle
" 98118,",SeaS,Seattle
" 98119,",SeaW,Seattle
" 98122,",SeaS,Seattle
" 98125,",SeaN,Seattle
" 98126,",SeaS,Seattle
" 98133,",SeaN,Seattle
" 98136,",SeaW,Seattle
" 98144,",SeaE,Seattle
" 98146,",SeaW,Seattle
" 98148,",SeaS,Seattle
" 98155,",SeaN,Seattle
" 98166,",SeaW,Seattle
" 98168,",SeaS,Seattle
" 98177,",SeaN,Seattle
" 98178,",SeaS,Seattle
" 98188,",SeaS,Seattle
" 98198,",SeaS,Seattle
98199,SeaW,Seattle
